Member ID,Merchant ID,Merchant Name,Order ID,Transaction Date,Transaction Time,SKU Number,Sales($),Quantity,Commissions($),Process Date,Process Time,
<none>,36342,Buy.com (dba Rakuten.com Shopping),74949602,06/27/2014,01:36,252613036,26.95,1,0.1348,06/28/2014,05:11,
<none>,38605,Kohls Department Stores Inc,1147715766,06/14/2014,13:44,91658338,25.99,1,1.0396,06/14/2014,13:44,
<none>,38605,Kohls Department Stores Inc,1147715766,06/14/2014,13:44,Discount,-21.20,0,-0.848,06/14/2014,13:44,
<none>,38605,Kohls Department Stores Inc,1201230022,05/18/2014,01:46,94760605,-32.99,1,-1.3196,06/18/2014,04:07,
<none>,38605,Kohls Department Stores Inc,1201230022,05/18/2014,01:46,95053062,-23.99,1,-0.9596,06/18/2014,04:09,
<none>,38605,Kohls Department Stores Inc,1268799477,06/18/2014,03:51,93862565,29.97,1,1.1988,06/18/2014,03:51,
<none>,38605,Kohls Department Stores Inc,1268799477,06/18/2014,03:51,Discount,-6.00,0,-0.24,06/18/2014,03:51,
<none>,38605,Kohls Department Stores Inc,1277269196,07/05/2014,16:27,93921343,8.40,1,0.336,07/05/2014,16:27,
<none>,38605,Kohls Department Stores Inc,1277269196,07/05/2014,16:27,94515711,14.70,1,0.588,07/05/2014,16:27,
<none>,38605,Kohls Department Stores Inc,1277269196,07/05/2014,16:27,94645234,10.00,1,0.40,07/05/2014,16:27,
<none>,38605,Kohls Department Stores Inc,1277269196,07/05/2014,16:27,Discount,-30.78,0,-1.2312,07/05/2014,16:27,
<none>,38605,Kohls Department Stores Inc,1277955699,06/30/2014,16:24,91494841,7.20,1,0.288,06/30/2014,16:24,
<none>,38605,Kohls Department Stores Inc,1277955699,06/30/2014,16:24,91494842,7.20,1,0.288,06/30/2014,16:24,
<none>,38605,Kohls Department Stores Inc,1277955699,06/30/2014,16:24,91494843,7.20,1,0.288,06/30/2014,16:24,
<none>,38605,Kohls Department Stores Inc,1277955699,06/30/2014,16:24,92037892,7.20,1,0.288,06/30/2014,16:24,
<none>,38605,Kohls Department Stores Inc,1277955699,06/30/2014,16:24,93167081,8.99,1,0.3596,06/30/2014,16:24,
<none>,38605,Kohls Department Stores Inc,1277955699,06/30/2014,16:24,93167084,8.99,1,0.3596,06/30/2014,16:24,
<none>,38605,Kohls Department Stores Inc,1277955699,06/30/2014,16:24,93167085,8.99,1,0.3596,06/30/2014,16:24,
<none>,38605,Kohls Department Stores Inc,1277955699,06/30/2014,16:24,93167087,8.99,1,0.3596,06/30/2014,16:24,
<none>,38605,Kohls Department Stores Inc,1277955699,06/30/2014,16:24,93885214,8.00,1,0.32,06/30/2014,16:24,
<none>,38605,Kohls Department Stores Inc,1277955699,06/30/2014,16:24,94727255,4.99,1,0.1996,06/30/2014,16:24,
<none>,38605,Kohls Department Stores Inc,1277955699,06/30/2014,16:24,94727256,4.99,1,0.1996,06/30/2014,16:24,
<none>,38605,Kohls Department Stores Inc,1277955699,06/30/2014,16:24,95155469,4.99,1,0.1996,06/30/2014,16:24,
<none>,38605,Kohls Department Stores Inc,1277955699,06/30/2014,16:24,95155482,4.99,1,0.1996,06/30/2014,16:24,
<none>,38605,Kohls Department Stores Inc,1277955699,06/30/2014,16:24,Discount,0.00,0,0.00,06/30/2014,16:24,
<none>,38605,Kohls Department Stores Inc,1281276352,07/03/2014,20:21,91494843,7.20,1,0.288,07/03/2014,20:22,
<none>,38605,Kohls Department Stores Inc,1281276352,07/03/2014,20:21,93291105,19.99,1,0.7996,07/03/2014,20:22,
<none>,38605,Kohls Department Stores Inc,1281276352,07/03/2014,20:21,94618704,7.20,1,0.288,07/03/2014,20:22,
<none>,38605,Kohls Department Stores Inc,1281276352,07/03/2014,20:21,94618705,7.20,1,0.288,07/03/2014,20:22,
<none>,38605,Kohls Department Stores Inc,1281276352,07/03/2014,20:21,94618706,7.20,1,0.288,07/03/2014,20:22,
<none>,38605,Kohls Department Stores Inc,1281276352,07/03/2014,20:21,94729630,19.99,1,0.7996,07/03/2014,20:22,
<none>,38605,Kohls Department Stores Inc,1281276352,07/03/2014,20:21,94729823,14.99,1,0.5996,07/03/2014,20:22,
<none>,38605,Kohls Department Stores Inc,1281276352,07/03/2014,20:21,94954593,10.99,1,0.4396,07/03/2014,20:22,
<none>,38605,Kohls Department Stores Inc,1281276352,07/03/2014,20:21,94961333,19.99,1,0.7996,07/03/2014,20:22,
<none>,38605,Kohls Department Stores Inc,1281276352,07/03/2014,20:21,94968778,19.99,1,0.7996,07/03/2014,20:22,
<none>,38605,Kohls Department Stores Inc,1281276352,07/03/2014,20:21,95062812,24.99,1,0.9996,07/03/2014,20:22,
<none>,38605,Kohls Department Stores Inc,1281276352,07/03/2014,20:21,Discount,0.00,0,0.00,07/03/2014,20:22,
